feature_1,feature_2,correlation_value
pearson_productive_activity_frequency,pearson_productive_activity_frequency,1.0
pearson_productive_activity_frequency,pearson_productive_activity_duration,0.6616918053498989
pearson_productive_activity_frequency,activity_high_minutes,0.11891341096802785
pearson_productive_activity_frequency,activity_inactivity_alerts,-0.1066120465443929
pearson_productive_activity_frequency,activity_met_min_high,0.13119919604949026
pearson_productive_activity_frequency,activity_met_min_inactive,0.10495197182260319
pearson_productive_activity_frequency,activity_rest_minutes,0.1171553467361286
pearson_productive_activity_frequency,activity_score_move_every_hour,0.12491874518458282
pearson_productive_activity_frequency,sleep_awake_seconds,0.2388879704730262
pearson_productive_activity_frequency,sleep_bedtime_start_delta,0.25707433279987796
pearson_productive_activity_frequency,sleep_breath_average,0.12797063473227088
pearson_productive_activity_frequency,sleep_duration,0.1614447806852872
pearson_productive_activity_frequency,sleep_efficiency,-0.15933008170597873
pearson_productive_activity_frequency,sleep_hr_average,-0.11960962178614981
pearson_productive_activity_frequency,sleep_midpoint_at_delta,0.3144506251433702
pearson_productive_activity_frequency,sleep_midpoint_time,0.14375939642669874
pearson_productive_activity_frequency,sleep_score_efficiency,-0.1601645837818189
pearson_productive_activity_frequency,sleep_score_rem,0.10992719538296652
pearson_productive_activity_frequency,sleep_score_total,0.16436827546392924
pearson_productive_activity_frequency,readiness_score,0.10338111590858165
pearson_productive_activity_frequency,readiness_score_recovery_index,0.1336190759033413
pearson_productive_activity_frequency,liveness,0.11416003819665291
pearson_productive_activity_duration,pearson_productive_activity_frequency,0.6616918053498989
pearson_productive_activity_duration,pearson_productive_activity_duration,1.0
pearson_productive_activity_duration,activity_high_minutes,0.2272180592069172
pearson_productive_activity_duration,activity_medium_minutes,0.1266831737198714
pearson_productive_activity_duration,activity_met_min_high,0.24318856402836345
pearson_productive_activity_duration,activity_met_min_inactive,0.1266518650763771
pearson_productive_activity_duration,activity_met_min_medium,0.11682553752796584
pearson_productive_activity_duration,activity_target_calories,0.12900669728263167
pearson_productive_activity_duration,activity_target_km,0.11815954413797695
pearson_productive_activity_duration,activity_target_miles,0.11815954413797683
pearson_productive_activity_duration,sleep_awake_seconds,0.10955635027533384
pearson_productive_activity_duration,sleep_bedtime_end_delta,-0.18657486373984378
pearson_productive_activity_duration,sleep_bedtime_start_delta,0.2672222599885686
pearson_productive_activity_duration,sleep_deep_seconds,0.11583696193125635
pearson_productive_activity_duration,sleep_efficiency,-0.11283397105478615
pearson_productive_activity_duration,sleep_hr_average,-0.11583210672286329
pearson_productive_activity_duration,sleep_midpoint_at_delta,0.292065709823928
pearson_productive_activity_duration,sleep_score_efficiency,-0.12092867140899881
pearson_productive_activity_duration,sleep_score_latency,0.13382373251323096
pearson_productive_activity_duration,sleep_score_total,0.14280979800399077
pearson_productive_activity_duration,readiness_score,0.1683345164762066
pearson_productive_activity_duration,readiness_score_hrv_balance,0.140883672351886
pearson_productive_activity_duration,mode,0.12104458228410377
pearson_productive_activity_duration,liveness,0.12503601857257968
spearman_productive_activity_frequency,spearman_productive_activity_frequency,1.0
spearman_productive_activity_frequency,spearman_productive_activity_duration,0.8712462509332798
spearman_productive_activity_frequency,activity_inactivity_alerts,-0.15773984554873496
spearman_productive_activity_frequency,activity_rest_minutes,0.13181659775836427
spearman_productive_activity_frequency,activity_score_move_every_hour,0.15773984554873496
spearman_productive_activity_frequency,sleep_bedtime_end_delta,-0.10106762549570555
spearman_productive_activity_frequency,sleep_midpoint_time,0.10026379331471598
spearman_productive_activity_frequency,sleep_score,0.15685780130940188
spearman_productive_activity_frequency,sleep_score_alignment,0.10208228927269182
spearman_productive_activity_frequency,sleep_score_rem,0.11016907182015138
spearman_productive_activity_frequency,sleep_score_total,0.1578855880632075
spearman_productive_activity_frequency,sleep_temperature_delta_celsius,-0.14219743366770934
spearman_productive_activity_frequency,sleep_temperature_deviation,-0.14219743366770934
spearman_productive_activity_frequency,sleep_temperature_trend_deviation,-0.1696017688408528
spearman_productive_activity_frequency,readiness_score_previous_day,0.15835781707269714
spearman_productive_activity_frequency,readiness_score_previous_night,0.12418603407916853
spearman_productive_activity_frequency,readiness_score_recovery_index,0.1321938252608011
spearman_productive_activity_frequency,readiness_score_temperature,0.12604172263777633
spearman_productive_activity_duration,spearman_productive_activity_frequency,0.8712462509332798
spearman_productive_activity_duration,spearman_productive_activity_duration,1.0
spearman_productive_activity_duration,activity_inactivity_alerts,-0.1397260780260995
spearman_productive_activity_duration,activity_met_min_inactive,0.10401328803086213
spearman_productive_activity_duration,activity_rest_minutes,0.11581061940523824
spearman_productive_activity_duration,activity_score_move_every_hour,0.1397260780260995
spearman_productive_activity_duration,sleep_bedtime_end_delta,-0.11065456178770006
spearman_productive_activity_duration,sleep_duration,0.14039945961934544
spearman_productive_activity_duration,sleep_light_seconds,0.10374467698021747
spearman_productive_activity_duration,sleep_midpoint_time,0.13920072596302538
spearman_productive_activity_duration,sleep_rem_seconds,0.1058084463147815
spearman_productive_activity_duration,sleep_score,0.21235592398531514
spearman_productive_activity_duration,sleep_score_alignment,0.12381571269538925
spearman_productive_activity_duration,sleep_score_deep,0.10305333349755598
spearman_productive_activity_duration,sleep_score_latency,0.13882649495987892
spearman_productive_activity_duration,sleep_score_rem,0.13973618184975736
spearman_productive_activity_duration,sleep_score_total,0.19724475068950717
spearman_productive_activity_duration,sleep_temperature_delta_celsius,-0.12038217157329262
spearman_productive_activity_duration,sleep_temperature_deviation,-0.12038217157329262
spearman_productive_activity_duration,sleep_total,0.12718230118661075
spearman_productive_activity_duration,readiness_score,0.12416738615302653
spearman_productive_activity_duration,readiness_score_previous_day,0.1389020177890772
spearman_productive_activity_duration,readiness_score_previous_night,0.17861670661786674
spearman_productive_activity_duration,readiness_score_recovery_index,0.14035892456927646